ACIW,ACI Worldwide Inc,20110831,UPDATE 1-S1 tells shareholders to sit tight on ACI offer , Aug 31 Payment processing technology provider S1 Corp has advised shareholders to take no action  a day after larger rival ACI Worldwide went hostile with a more than $500 million bid.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
FLAT,iPath US Treasury Flattener ETN,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
FLAT,iPath US Treasury Flattener ETN,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
FLAT,iPath US Treasury Flattener ETN,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
FLAT,iPath US Treasury Flattener ETN,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
FLAT,iPath US Treasury Flattener ETN,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
FLAT,iPath US Treasury Flattener ETN,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
FLAT,iPath US Treasury Flattener ETN,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
FLAT,iPath US Treasury Flattener ETN,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
FLAT,iPath US Treasury Flattener ETN,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
FLAT,iPath US Treasury Flattener ETN,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
STPP,iPath US Treasury Steepener ETN,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
STPP,iPath US Treasury Steepener ETN,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
STPP,iPath US Treasury Steepener ETN,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
STPP,iPath US Treasury Steepener ETN,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
STPP,iPath US Treasury Steepener ETN,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
STPP,iPath US Treasury Steepener ETN,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
STPP,iPath US Treasury Steepener ETN,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
STPP,iPath US Treasury Steepener ETN,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
STPP,iPath US Treasury Steepener ETN,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
STPP,iPath US Treasury Steepener ETN,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
ITRI,Itron Inc,20110831,UPDATE 1-Itron names LeRoy Nosbaum as CEO , August 31 - Power meter maker Itron Inc  said it appointed LeRoy Nosbaum as chief executive of the company  effective immediately.,topStory
MAGS,Magal Security Systems Ltd,20110831,Magal Security to delist from Tel Aviv bourse , JERUSALEM  Aug 31 Israel's Magal Security Systems  said on Wednesday it plans to delist its shares from the Tel Aviv Stock Exchange.,topStory
MRVL,Marvell Technology Group Ltd,20110831,Salesman "knew full well" he passed inside tips: Attorney ,NEW YORK A former Silicon Valley sales manager put company insiders together with hedge fund clients  knowing that corporate secrets would pass between them  federal prosecutors said at the start of his insider-trading trial.,topStory
MRVL,Marvell Technology Group Ltd,20110831,Salesman "knew full well" he passed inside tips: Attorney ,NEW YORK A former Silicon Valley sales manager put company insiders together with hedge fund clients  knowing that corporate secrets would pass between them  federal prosecutors said at the start of his insider-trading trial.,normal
MAT,Mattel Inc,20110831,Apple criticized for China supply chain pollution ,BEIJING Chinese environmental groups accused Apple Inc of turning a blind eye as its suppliers pollute the country  the latest criticism of the technology company's environmental record.,topStory
MAT,Mattel Inc,20110831,Apple criticized for China supply chain pollution , * One village saw "phenomenal rise" in cancer cases-report,normal
MAT,Mattel Inc,20110831,Toys R Us to open fewer pop-up stores this year , NEW YORK  Aug 31 Toys R Us Inc [TOY.UL]  the world's largest toy retailer  plans to open fewer temporary pop-up stores this year  a spokeswoman said on Wednesday.,normal
MSFT,Microsoft Corporation,20110831,Analysis: Big-name stocks cheaper than during 2008-09 crisis ,NEW YORK One out of every 10 companies in the S&P 500 index -- including stalwarts like Apple and JPMorgan Chase -- is now cheaper than during the 2008-2009 market meltdown.,topStory
MSFT,Microsoft Corporation,20110831,Salesforce.com's Benioff inspired by Arab Spring ,SAN FRANCISCO Web-based software maker Salesforce.com Inc's Chief Executive Marc Benioff unveiled a slew of social networking tools and said he was inspired by recent revolutions in Egypt and Libya.,normal
MSFT,Microsoft Corporation,20110831,Lawsuit says Microsoft tracks customers without consent ,SAN FRANCISCO Microsoft allegedly tracks the location of its mobile customers even after users request that tracking software be turned off  according to a new lawsuit.,normal
MSFT,Microsoft Corporation,20110831,Lawsuit says Microsoft tracks customers without consent , * Tech industry has been criticized over unwanted tracking,normal
MSFT,Microsoft Corporation,20110831,Salesforce.com's Benioff inspired by Arab Spring , SAN FRANCISCO  Aug 31 Web-based software maker Salesforce.com  Inc's chief executive  Marc Benioff  unveiled a slew of social networking tools and said he was inspired by recent revolutions in Egypt and Libya.,normal
MSFT,Microsoft Corporation,20110831,Nokia senior exec leaving for venture fund ,HELSINKI Finnish phone maker Nokia said a senior executive was leaving the company to work for a new venture investment fund which will help it develop new applications for its phones.,normal
